baseline,protocol,split_id,accuracy,balanced_accuracy,sensitivity,specificity,precision_yes,F1_yes,F1_no,Macro_F1,MCC,Brier,ROC_AUC,PR_AUC,tp,fp,tn,fn
always_yes,mccv,19,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,20,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,21,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,22,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,23,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,24,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,25,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,26,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,27,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,28,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,29,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,30,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,31,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,32,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,33,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,34,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,35,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
always_yes,mccv,36,0.6111111111111112,0.5,1.0,0.0,0.6111111111111112,0.7586206896551724,0.0,0.3793103448275862,0.0,0.3888888888888889,,,11,7,0,0
