config_id,Macro_F1_mean_39,Macro_F1_mean_37,delta_mean_37_minus_39,delta_std,delta_se,delta_ci95_half,delta_ci95_low,delta_ci95_high,wilcoxon_p,n_folds_positive_delta,n_folds_negative_delta,is_exp3_winner,is_exp4_winner
cosine_rigid_uniform_k9,0.6169307889953334,0.6097527397196063,-0.0071780492757270555,0.08273507487278196,0.011700506496904172,0.023513048118048406,-0.03069109739377546,0.01633499884232135,0.9803976595144179,17,18,False,False
euclidean_rigid_inverse_distance_k9,0.6163578752970058,0.6083232420317899,-0.008034633265215892,0.07203192489484818,0.010186852511013447,0.020471246550420433,-0.028505879815636327,0.012436613285204541,0.5000569508976107,20,18,False,False
manhattan_fuzzy_confidence_inverse_distance_k11,0.6092370784082928,0.6008275089706911,-0.008409569437601717,0.08562444921829986,0.012109125735524601,0.024334199221394626,-0.03274376865899634,0.015924629783792908,0.27944586520854475,18,21,False,False
minkowski_p3_fuzzy_confidence_uniform_k9,0.5988548148595395,0.5899446711098885,-0.00891014374965107,0.07717051088575073,0.010913558310988926,0.02193161653072935,-0.03084176028038042,0.013021472781078281,0.36803928765519245,17,22,False,False
minkowski_p3_fuzzy_confidence_inverse_distance_k7,0.5710749562674654,0.5604699150998317,-0.010605041167633706,0.0899366164690389,0.012718958276446228,0.025559703594426327,-0.03616474476206003,0.01495466242679262,0.45529318288992937,20,19,False,False
euclidean_fuzzy_confidence_inverse_distance_k9,0.604835961365427,0.5932950516016541,-0.011540909763772866,0.08285507728320007,0.011717477400537248,0.023547152425741142,-0.035088062189514005,0.012006242661968276,0.47619419373182525,20,20,False,False
manhattan_fuzzy_confidence_inverse_distance_k9,0.6033577047519368,0.5916739880513537,-0.011683716700583024,0.12670781742010023,0.017919191385419964,0.03600996327751955,-0.047693679978102574,0.024326246576936522,0.3370671860517743,16,27,False,False
cosine_fuzzy_confidence_uniform_k3,0.5798793682225503,0.5667529252389126,-0.01312644298363776,0.08698675391160886,0.012301784712860812,0.024721361931460115,-0.03784780491509787,0.011594918947822355,0.27351305343166266,17,21,False,False
minkowski_p3_fuzzy_confidence_inverse_distance_k9,0.6042619938451341,0.591064252799493,-0.013197741045641163,0.07865143976814186,0.011122993282027682,0.022352491862317712,-0.035550232907958876,0.009154750816676549,0.25467680245362745,17,20,False,False
cosine_rigid_inverse_distance_k5,0.579664355451312,0.564736538238039,-0.014927817213272854,0.09186504341887833,0.012991679031097096,0.026107756469623912,-0.041035573682896766,0.011179939256351058,0.28642303641448674,13,25,False,False
euclidean_fuzzy_confidence_uniform_k9,0.6151173040394942,0.5997978185012713,-0.015319485538222688,0.09801832780651373,0.013861884854510358,0.027856500543560862,-0.04317598608178355,0.012537015005338175,0.37243306547640864,18,20,False,False
manhattan_rigid_inverse_distance_k11,0.614323166022493,0.5986437442349007,-0.015679421787592226,0.10203059391063457,0.014429304968540113,0.02899677395376411,-0.04467619574135634,0.013317352166171883,0.3384279483433785,17,21,False,False
manhattan_fuzzy_confidence_uniform_k9,0.6050219567067393,0.5881951877786242,-0.016826768928114997,0.11797993252184891,0.01668488206602613,0.03352952583430785,-0.05035629476242284,0.016702756906192853,0.17672870412128028,14,26,False,False
cosine_fuzzy_confidence_uniform_k5,0.5768707455255442,0.5597063823300732,-0.017164363195471023,0.11316113090786342,0.01600340060633777,0.032160037568355435,-0.04932440076382646,0.014995674372884411,0.1434751662492589,15,27,False,False
minkowski_p3_rigid_inverse_distance_k9,0.6145635621802804,0.5968487037697698,-0.017714858410510584,0.06214008928294597,0.00878793570310172,0.017660017974437146,-0.035374876384947726,-5.484043607343822e-05,0.05838503095131871,16,22,False,False
manhattan_rigid_uniform_k11,0.6231931569011795,0.6053088132765815,-0.01788434362459803,0.0993853953462804,0.014055217400052162,0.028245016839612832,-0.04612936046421086,0.010360673215014802,0.2487649263824374,17,24,False,False
euclidean_fuzzy_confidence_uniform_k7,0.5833847298790359,0.56515880279689,-0.018225927082145953,0.08552001241528874,0.01209435614120168,0.024304518610380837,-0.042530445692526786,0.006078591528234884,0.11095958557284565,19,22,False,False
euclidean_rigid_inverse_distance_k7,0.5961312670483622,0.5771632267738742,-0.018968040274487973,0.08755465122433997,0.01238209752103077,0.024882756561982775,-0.04385079683647075,0.005914716287494803,0.11895399577682036,15,23,False,False
