cfg_id,max_features,representation,k,weights,metric,mean_macro_f1,std_macro_f1,mean_acc,mean_sens,mean_spec
241,300,embedkit_sup,9,uniform,cosine,0.5248103225330377,0.1260211517752013,0.5861111111111111,0.7418181818181817,0.3414285714285714
209,300,embedkit_unsup,9,uniform,cosine,0.5248103225330377,0.1260211517752013,0.5861111111111111,0.7418181818181817,0.3414285714285714
208,300,embedkit_unsup,9,uniform,euclidean,0.5248103225330377,0.1260211517752013,0.5861111111111111,0.7418181818181817,0.3414285714285714
100,100,embedkit_sup,3,uniform,euclidean,0.5247206291042978,0.1103645624252447,0.5605555555555557,0.6618181818181817,0.4014285714285714
101,100,embedkit_sup,3,uniform,cosine,0.5247206291042978,0.1103645624252447,0.5605555555555557,0.6618181818181817,0.4014285714285714
586,None,embedkit_unsup,5,distance,euclidean,0.5246502880825669,0.11611951447610265,0.5783333333333333,0.7227272727272726,0.35142857142857137
618,None,embedkit_sup,5,distance,euclidean,0.5246502880825669,0.11611951447610265,0.5783333333333333,0.7227272727272726,0.35142857142857137
69,100,embedkit_unsup,3,uniform,cosine,0.5245065822815553,0.11023903939707326,0.5605555555555557,0.6627272727272726,0.3999999999999999
68,100,embedkit_unsup,3,uniform,euclidean,0.5245065822815553,0.11023903939707326,0.5605555555555557,0.6627272727272726,0.3999999999999999
234,300,embedkit_sup,5,distance,euclidean,0.5244034356228966,0.11510610289065397,0.5661111111111111,0.6727272727272726,0.39857142857142863
202,300,embedkit_unsup,5,distance,euclidean,0.5244034356228966,0.11510610289065397,0.5661111111111111,0.6727272727272726,0.39857142857142863
103,100,embedkit_sup,3,distance,cosine,0.524272786382017,0.11508013889561704,0.5566666666666668,0.6481818181818181,0.41285714285714276
36,100,pca,3,uniform,euclidean,0.5240824729869723,0.10271415779087137,0.5783333333333334,0.7345454545454547,0.3328571428571428
71,100,embedkit_unsup,3,distance,cosine,0.5240587395592745,0.11495893100357474,0.5566666666666668,0.649090909090909,0.41142857142857137
335,500,embedkit_unsup,7,distance,cosine,0.5237999878636741,0.11005641768553842,0.581111111111111,0.7300000000000001,0.34714285714285714
367,500,embedkit_sup,7,distance,cosine,0.5237999878636741,0.11005641768553842,0.581111111111111,0.7300000000000001,0.34714285714285714
224,300,embedkit_sup,1,uniform,euclidean,0.5235725531970384,0.1233174626423007,0.5516666666666667,0.6100000000000001,0.46
227,300,embedkit_sup,1,distance,cosine,0.5235725531970384,0.1233174626423007,0.5516666666666667,0.6100000000000001,0.46
193,300,embedkit_unsup,1,uniform,cosine,0.5235725531970384,0.1233174626423007,0.5516666666666667,0.6100000000000001,0.46
194,300,embedkit_unsup,1,distance,euclidean,0.5235725531970384,0.1233174626423007,0.5516666666666667,0.6100000000000001,0.46
195,300,embedkit_unsup,1,distance,cosine,0.5235725531970384,0.1233174626423007,0.5516666666666667,0.6100000000000001,0.46
225,300,embedkit_sup,1,uniform,cosine,0.5235725531970384,0.1233174626423007,0.5516666666666667,0.6100000000000001,0.46
226,300,embedkit_sup,1,distance,euclidean,0.5235725531970384,0.1233174626423007,0.5516666666666667,0.6100000000000001,0.46
192,300,embedkit_unsup,1,uniform,euclidean,0.5235725531970384,0.1233174626423007,0.5516666666666667,0.6100000000000001,0.46
235,300,embedkit_sup,5,distance,cosine,0.5235369784631496,0.1158352651031683,0.5644444444444443,0.6690909090909091,0.4
203,300,embedkit_unsup,5,distance,cosine,0.5235369784631496,0.1158352651031683,0.5644444444444443,0.6690909090909091,0.4
280,500,raw,15,uniform,euclidean,0.5227536698822306,0.10698335806204134,0.6238888888888889,0.8727272727272728,0.23285714285714276
371,500,embedkit_sup,9,distance,cosine,0.5225550466728148,0.11509036139686808,0.5905555555555556,0.7627272727272728,0.32
339,500,embedkit_unsup,9,distance,cosine,0.5225550466728148,0.11509036139686808,0.5905555555555556,0.7627272727272728,0.32
370,500,embedkit_sup,9,distance,euclidean,0.5225477617850582,0.11485615485630134,0.5916666666666668,0.7663636363636364,0.3171428571428571
338,500,embedkit_unsup,9,distance,euclidean,0.5225477617850582,0.11485615485630134,0.5916666666666668,0.7663636363636364,0.3171428571428571
232,300,embedkit_sup,5,uniform,euclidean,0.5211091371128186,0.11768646578517199,0.5677777777777778,0.6881818181818181,0.3785714285714286
201,300,embedkit_unsup,5,uniform,cosine,0.5211091371128186,0.11768646578517199,0.5677777777777778,0.6881818181818181,0.3785714285714286
