max_features,representation,n_neighbors,weights,metric,mean_macro_f1,mean_accuracy,mean_sensitivity,mean_specificity
100,corr_0.8,21,uniform,cosine,0.48032684770113554,0.6177777777777779,0.9181818181818181,0.14571428571428569
100,corr_0.8,21,distance,euclidean,0.45883100692411033,0.6133333333333334,0.9327272727272725,0.1114285714285714
100,corr_0.8,21,distance,cosine,0.48032684770113554,0.6177777777777779,0.9181818181818181,0.14571428571428569
100,corr_0.9,1,uniform,euclidean,0.4281411224974255,0.4777777777777777,0.6109090909090908,0.2685714285714285
100,corr_0.9,1,uniform,cosine,0.43776574747684927,0.4822222222222222,0.6027272727272727,0.29285714285714276
100,corr_0.9,1,distance,euclidean,0.4281411224974255,0.4777777777777777,0.6109090909090908,0.2685714285714285
100,corr_0.9,1,distance,cosine,0.43776574747684927,0.4822222222222222,0.6027272727272727,0.29285714285714276
100,corr_0.9,3,uniform,euclidean,0.43214697484480097,0.5022222222222222,0.6809090909090911,0.22142857142857136
100,corr_0.9,3,uniform,cosine,0.4361247921544463,0.4955555555555556,0.6536363636363636,0.24714285714285708
100,corr_0.9,3,distance,euclidean,0.43214697484480097,0.5022222222222222,0.6809090909090911,0.22142857142857136
100,corr_0.9,3,distance,cosine,0.4361247921544463,0.4955555555555556,0.6536363636363636,0.24714285714285708
100,corr_0.9,5,uniform,euclidean,0.4617933601016822,0.54,0.7409090909090911,0.2242857142857142
100,corr_0.9,5,uniform,cosine,0.4647746236046849,0.5333333333333333,0.7172727272727275,0.24428571428571424
100,corr_0.9,5,distance,euclidean,0.4617933601016822,0.54,0.7409090909090911,0.2242857142857142
100,corr_0.9,5,distance,cosine,0.4647746236046849,0.5333333333333333,0.7172727272727275,0.24428571428571424
100,corr_0.9,7,uniform,euclidean,0.48739691148986497,0.5811111111111111,0.8127272727272729,0.21714285714285708
100,corr_0.9,7,uniform,cosine,0.4847331451032724,0.5761111111111111,0.8018181818181819,0.22142857142857136
100,corr_0.9,7,distance,euclidean,0.48739691148986497,0.5811111111111111,0.8127272727272729,0.21714285714285708
100,corr_0.9,7,distance,cosine,0.4847331451032724,0.5761111111111111,0.8018181818181819,0.22142857142857136
100,corr_0.9,9,uniform,euclidean,0.481830152083188,0.5894444444444445,0.8418181818181819,0.1928571428571428
100,corr_0.9,9,uniform,cosine,0.4856313311237599,0.5866666666666667,0.8299999999999998,0.20428571428571424
100,corr_0.9,9,distance,euclidean,0.481830152083188,0.5894444444444445,0.8418181818181819,0.1928571428571428
100,corr_0.9,9,distance,cosine,0.4856313311237599,0.5866666666666667,0.8299999999999998,0.20428571428571424
100,corr_0.9,11,uniform,euclidean,0.4792187675087975,0.5950000000000001,0.86,0.1785714285714285
100,corr_0.9,11,uniform,cosine,0.48690202264557586,0.5972222222222223,0.8545454545454547,0.19285714285714278
100,corr_0.9,11,distance,euclidean,0.4792187675087975,0.5950000000000001,0.86,0.1785714285714285
100,corr_0.9,11,distance,cosine,0.48690202264557586,0.5972222222222223,0.8545454545454547,0.19285714285714278
100,corr_0.9,15,uniform,euclidean,0.5004720925501285,0.6183333333333334,0.8936363636363636,0.1857142857142856
100,corr_0.9,15,uniform,cosine,0.5081959888770233,0.6205555555555556,0.8881818181818183,0.1999999999999999
100,corr_0.9,15,distance,euclidean,0.5004720925501285,0.6183333333333334,0.8936363636363636,0.1857142857142856
100,corr_0.9,15,distance,cosine,0.5081959888770233,0.6205555555555556,0.8881818181818183,0.1999999999999999
100,corr_0.9,21,uniform,euclidean,0.4836847834435541,0.6188888888888889,0.9163636363636364,0.15142857142857138
100,corr_0.9,21,uniform,cosine,0.5017070196864051,0.6249999999999999,0.9099999999999998,0.17714285714285713
100,corr_0.9,21,distance,euclidean,0.4836847834435541,0.6188888888888889,0.9163636363636364,0.15142857142857138
100,corr_0.9,21,distance,cosine,0.5008259008052862,0.6244444444444444,0.9099999999999998,0.17571428571428566
100,corr_0.95,1,uniform,euclidean,0.42298231278512943,0.4727777777777778,0.6072727272727273,0.26142857142857134
100,corr_0.95,1,uniform,cosine,0.4352598801924957,0.47888888888888886,0.5981818181818181,0.29142857142857137
100,corr_0.95,1,distance,euclidean,0.42298231278512943,0.4727777777777778,0.6072727272727273,0.26142857142857134
100,corr_0.95,1,distance,cosine,0.4352598801924957,0.47888888888888886,0.5981818181818181,0.29142857142857137
100,corr_0.95,3,uniform,euclidean,0.4303550774905736,0.5022222222222222,0.6827272727272728,0.2185714285714285
100,corr_0.95,3,uniform,cosine,0.4356095218377491,0.49611111111111117,0.6563636363636364,0.2442857142857142
100,corr_0.95,3,distance,euclidean,0.4303550774905736,0.5022222222222222,0.6827272727272728,0.2185714285714285
100,corr_0.95,3,distance,cosine,0.4356095218377491,0.49611111111111117,0.6563636363636364,0.2442857142857142
100,corr_0.95,5,uniform,euclidean,0.4553837680833946,0.5344444444444444,0.7363636363636366,0.21714285714285708
100,corr_0.95,5,uniform,cosine,0.46213167444434444,0.5316666666666667,0.7172727272727275,0.23999999999999994
100,corr_0.95,5,distance,euclidean,0.4553837680833946,0.5344444444444444,0.7363636363636366,0.21714285714285708
100,corr_0.95,5,distance,cosine,0.46213167444434444,0.5316666666666667,0.7172727272727275,0.23999999999999994
100,corr_0.95,7,uniform,euclidean,0.48854482789130466,0.5833333333333335,0.8172727272727272,0.21571428571428566
100,corr_0.95,7,uniform,cosine,0.4808291766079996,0.5738888888888889,0.8018181818181819,0.21571428571428566
100,corr_0.95,7,distance,euclidean,0.48854482789130466,0.5833333333333335,0.8172727272727272,0.21571428571428566
100,corr_0.95,7,distance,cosine,0.4808291766079996,0.5738888888888889,0.8018181818181819,0.21571428571428566
100,corr_0.95,9,uniform,euclidean,0.482862180025261,0.5877777777777778,0.8363636363636364,0.1971428571428571
100,corr_0.95,9,uniform,cosine,0.4841272857993247,0.5838888888888889,0.8254545454545453,0.20428571428571424
100,corr_0.95,9,distance,euclidean,0.482862180025261,0.5877777777777778,0.8363636363636364,0.1971428571428571
100,corr_0.95,9,distance,cosine,0.4841272857993247,0.5838888888888889,0.8254545454545453,0.20428571428571424
100,corr_0.95,11,uniform,euclidean,0.4770618350415202,0.5927777777777778,0.8572727272727272,0.17714285714285713
100,corr_0.95,11,uniform,cosine,0.4880587344522877,0.5972222222222223,0.8527272727272727,0.19571428571428562
100,corr_0.95,11,distance,euclidean,0.4770618350415202,0.5927777777777778,0.8572727272727272,0.17714285714285713
100,corr_0.95,11,distance,cosine,0.4880587344522877,0.5972222222222223,0.8527272727272727,0.19571428571428562
100,corr_0.95,15,uniform,euclidean,0.4967254832429495,0.6172222222222222,0.8936363636363636,0.18285714285714286
100,corr_0.95,15,uniform,cosine,0.507815363089351,0.6222222222222222,0.8918181818181818,0.1985714285714285
100,corr_0.95,15,distance,euclidean,0.4967254832429495,0.6172222222222222,0.8936363636363636,0.18285714285714286
100,corr_0.95,15,distance,cosine,0.507815363089351,0.6222222222222222,0.8918181818181818,0.1985714285714285
100,corr_0.95,21,uniform,euclidean,0.4891893936481642,0.6211111111111112,0.9145454545454546,0.15999999999999998
100,corr_0.95,21,uniform,cosine,0.5018625014970594,0.6255555555555555,0.9099999999999998,0.1785714285714285
100,corr_0.95,21,distance,euclidean,0.4891893936481642,0.6211111111111112,0.9145454545454546,0.15999999999999998
100,corr_0.95,21,distance,cosine,0.5009813826159405,0.6249999999999999,0.9099999999999998,0.17714285714285713
300,raw,1,uniform,euclidean,0.594060690417478,0.6288888888888889,0.7254545454545455,0.47714285714285715
300,raw,1,uniform,cosine,0.594060690417478,0.6288888888888889,0.7254545454545455,0.47714285714285715
300,raw,1,distance,euclidean,0.594060690417478,0.6288888888888889,0.7254545454545455,0.47714285714285715
300,raw,1,distance,cosine,0.594060690417478,0.6288888888888889,0.7254545454545455,0.47714285714285715
300,raw,3,uniform,euclidean,0.5585213841199606,0.6138888888888888,0.77,0.3685714285714285
300,raw,3,uniform,cosine,0.5585213841199606,0.6138888888888888,0.77,0.3685714285714285
300,raw,3,distance,euclidean,0.5585213841199606,0.6138888888888888,0.77,0.3685714285714285
300,raw,3,distance,cosine,0.5585213841199606,0.6138888888888888,0.77,0.3685714285714285
300,raw,5,uniform,euclidean,0.5406977385211268,0.6077777777777778,0.7863636363636366,0.32714285714285707
300,raw,5,uniform,cosine,0.5406977385211268,0.6077777777777778,0.7863636363636366,0.32714285714285707
300,raw,5,distance,euclidean,0.5406977385211268,0.6077777777777778,0.7863636363636366,0.32714285714285707
300,raw,5,distance,cosine,0.5406977385211268,0.6077777777777778,0.7863636363636366,0.32714285714285707
300,raw,7,uniform,euclidean,0.523877734182082,0.6033333333333334,0.8109090909090908,0.277142857142857
300,raw,7,uniform,cosine,0.523877734182082,0.6033333333333334,0.8109090909090908,0.277142857142857
300,raw,7,distance,euclidean,0.523877734182082,0.6033333333333334,0.8109090909090908,0.277142857142857
300,raw,7,distance,cosine,0.523877734182082,0.6033333333333334,0.8109090909090908,0.277142857142857
300,raw,9,uniform,euclidean,0.5216836766168476,0.6166666666666668,0.8509090909090908,0.24857142857142847
300,raw,9,uniform,cosine,0.5216836766168476,0.6166666666666668,0.8509090909090908,0.24857142857142847
300,raw,9,distance,euclidean,0.5216836766168476,0.6166666666666668,0.8509090909090908,0.24857142857142847
300,raw,9,distance,cosine,0.5216836766168476,0.6166666666666668,0.8509090909090908,0.24857142857142847
