w_tab,w_mri,w_text,macro_f1,accuracy,sensitivity,specificity,auroc,brier_score,tp,tn,fp,fn
0.35000000000000003,0.1,0.55,0.636208125445474,0.6704545454545454,0.7962962962962963,0.47058823529411764,0.7211328976034859,0.19969767332077026,43,16,18,11
0.05,0.65,0.3,0.636208125445474,0.6704545454545454,0.7962962962962963,0.47058823529411764,0.6775599128540304,0.21670761704444885,43,16,18,11
0.45,0.4,0.15,0.636208125445474,0.6704545454545454,0.7962962962962963,0.47058823529411764,0.6824618736383442,0.21616920828819275,43,16,18,11
0.0,0.35000000000000003,0.65,0.6333333333333333,0.6818181818181818,0.8518518518518519,0.4117647058823529,0.701797385620915,0.2062549740076065,46,14,20,8
0.0,0.4,0.6,0.6333333333333333,0.6818181818181818,0.8518518518518519,0.4117647058823529,0.7020697167755992,0.20670455694198608,46,14,20,8
0.05,0.4,0.55,0.6333333333333333,0.6818181818181818,0.8518518518518519,0.4117647058823529,0.7137799564270153,0.20400220155715942,46,14,20,8
0.25,0.35000000000000003,0.4,0.6333333333333333,0.6818181818181818,0.8518518518518519,0.4117647058823529,0.7336601307189543,0.20047305524349213,46,14,20,8
0.1,0.4,0.5,0.6333333333333333,0.6818181818181818,0.8518518518518519,0.4117647058823529,0.7233115468409586,0.20223841071128845,46,14,20,8
0.15000000000000002,0.05,0.8,0.6333333333333333,0.6818181818181818,0.8518518518518519,0.4117647058823529,0.7222222222222222,0.20363749563694,46,14,20,8
0.15000000000000002,0.1,0.75,0.6333333333333333,0.6818181818181818,0.8518518518518519,0.4117647058823529,0.7246732026143791,0.20155924558639526,46,14,20,8
0.2,0.05,0.75,0.6333333333333333,0.6818181818181818,0.8518518518518519,0.4117647058823529,0.7249455337690631,0.20143333077430725,46,14,20,8
0.6000000000000001,0.05,0.35,0.6316964285714286,0.6590909090909091,0.7592592592592593,0.5,0.7083333333333334,0.2175854742527008,41,17,17,13
0.5,0.0,0.5,0.6316964285714286,0.6590909090909091,0.7592592592592593,0.5,0.7121459694989107,0.2082642912864685,41,17,17,13
0.55,0.05,0.4,0.6316964285714286,0.6590909090909091,0.7592592592592593,0.5,0.7132352941176471,0.21228176355361938,41,17,17,13
0.6000000000000001,0.0,0.4,0.6316964285714286,0.6590909090909091,0.7592592592592593,0.5,0.7077886710239651,0.21727114915847778,41,17,17,13
0.5,0.05,0.45,0.6316964285714286,0.6590909090909091,0.7592592592592593,0.5,0.713235294117647,0.2079165130853653,41,17,17,13
0.65,0.0,0.35,0.6316964285714286,0.6590909090909091,0.7592592592592593,0.5,0.7069716775599129,0.2231823056936264,41,17,17,13
0.30000000000000004,0.7000000000000001,0.0,0.6316964285714286,0.6590909090909091,0.7592592592592593,0.5,0.6424291938997821,0.23150628805160522,41,17,17,13
0.65,0.25,0.1,0.6316964285714286,0.6590909090909091,0.7592592592592593,0.5,0.6598583877995642,0.23227739334106445,41,17,17,13
0.7000000000000001,0.30000000000000004,0.0,0.6316964285714286,0.6590909090909091,0.7592592592592593,0.5,0.6361655773420479,0.24469280242919922,41,17,17,13
0.4,0.35000000000000003,0.25,0.6303056642039693,0.6704545454545454,0.8148148148148148,0.4411764705882353,0.7050653594771241,0.20826572179794312,44,15,19,10
0.35000000000000003,0.25,0.4,0.6303056642039693,0.6704545454545454,0.8148148148148148,0.4411764705882353,0.7246732026143791,0.20095638930797577,44,15,19,10
0.25,0.6000000000000001,0.15,0.6303056642039693,0.6704545454545454,0.8148148148148148,0.4411764705882353,0.6783769063180829,0.21686524152755737,44,15,19,10
0.30000000000000004,0.35000000000000003,0.35,0.6303056642039693,0.6704545454545454,0.8148148148148148,0.4411764705882353,0.7257625272331154,0.20213209092617035,44,15,19,10
0.2,0.6000000000000001,0.2,0.6303056642039693,0.6704545454545454,0.8148148148148148,0.4411764705882353,0.6854575163398694,0.2144894152879715,44,15,19,10
0.45,0.5,0.05,0.6303056642039693,0.6704545454545454,0.8148148148148148,0.4411764705882353,0.6574074074074073,0.2247876226902008,44,15,19,10
0.35000000000000003,0.2,0.45,0.6303056642039693,0.6704545454545454,0.8148148148148148,0.4411764705882353,0.7233115468409586,0.19994999468326569,44,15,19,10
0.55,0.15000000000000002,0.3,0.6264855687606112,0.6590909090909091,0.7777777777777778,0.47058823529411764,0.7026143790849674,0.21400879323482513,42,16,18,12
0.5,0.1,0.4,0.6264855687606112,0.6590909090909091,0.7777777777777778,0.47058823529411764,0.7154139433551198,0.2081555873155594,42,16,18,12
0.5,0.25,0.25,0.6264855687606112,0.6590909090909091,0.7777777777777778,0.47058823529411764,0.7023420479302832,0.21239371597766876,42,16,18,12
0.05,0.6000000000000001,0.35,0.6264855687606112,0.6590909090909091,0.7777777777777778,0.47058823529411764,0.6944444444444444,0.21299292147159576,42,16,18,12
0.45,0.1,0.45,0.6264855687606112,0.6590909090909091,0.7777777777777778,0.47058823529411764,0.7156862745098038,0.2043977826833725,42,16,18,12
0.0,0.7000000000000001,0.3,0.6264855687606112,0.6590909090909091,0.7777777777777778,0.47058823529411764,0.6486928104575165,0.22172527015209198,42,16,18,12
