representation,n_neighbors,weights,metric,mean_macro_f1,mean_accuracy,mean_sensitivity,mean_specificity
corr_0.7,9,distance,cosine,0.42388867508192846,0.5283333333333334,0.770909090909091,0.1471428571428571
corr_0.7,11,uniform,euclidean,0.4484578322241366,0.5472222222222222,0.7790909090909092,0.1828571428571428
corr_0.7,11,uniform,cosine,0.4236277788262046,0.5355555555555556,0.7890909090909091,0.1371428571428571
corr_0.7,11,distance,euclidean,0.4457646827809871,0.5433333333333333,0.7727272727272729,0.1828571428571428
corr_0.7,11,distance,cosine,0.42265564422251073,0.5327777777777779,0.7845454545454547,0.13714285714285712
corr_0.7,15,uniform,euclidean,0.4593584880511793,0.5688888888888889,0.8227272727272726,0.16999999999999996
corr_0.7,15,uniform,cosine,0.41008545692207754,0.5405555555555556,0.8172727272727274,0.1057142857142857
corr_0.7,15,distance,euclidean,0.45507467862389156,0.5633333333333332,0.8145454545454546,0.1685714285714285
corr_0.7,15,distance,cosine,0.4072636200520008,0.5422222222222223,0.8254545454545454,0.09714285714285711
corr_0.7,21,uniform,euclidean,0.43647728990705015,0.585,0.890909090909091,0.10428571428571427
corr_0.7,21,uniform,cosine,0.4249812884073005,0.5755555555555556,0.880909090909091,0.0957142857142857
corr_0.7,21,distance,euclidean,0.4334606808456135,0.5822222222222222,0.8872727272727273,0.10285714285714284
corr_0.7,21,distance,cosine,0.41571193984537325,0.5738888888888889,0.8854545454545455,0.08428571428571428
corr_0.8,1,uniform,euclidean,0.5181971516178442,0.5583333333333332,0.6745454545454547,0.3757142857142856
corr_0.8,1,uniform,cosine,0.516243285929906,0.5644444444444444,0.702727272727273,0.34714285714285714
corr_0.8,1,distance,euclidean,0.5181971516178442,0.5583333333333332,0.6745454545454547,0.3757142857142856
corr_0.8,1,distance,cosine,0.516243285929906,0.5644444444444444,0.702727272727273,0.34714285714285714
corr_0.8,3,uniform,euclidean,0.47483433717436946,0.5422222222222222,0.7190909090909089,0.26428571428571423
corr_0.8,3,uniform,cosine,0.49733217181332007,0.565,0.7463636363636365,0.2799999999999999
corr_0.8,3,distance,euclidean,0.47483433717436946,0.5422222222222222,0.7190909090909089,0.26428571428571423
corr_0.8,3,distance,cosine,0.4945111551488251,0.5627777777777778,0.7445454545454546,0.2771428571428571
corr_0.8,5,uniform,euclidean,0.46866560485990777,0.5455555555555556,0.7436363636363638,0.2342857142857142
corr_0.8,5,uniform,cosine,0.48634844279491957,0.5622222222222223,0.7545454545454546,0.25999999999999995
corr_0.8,5,distance,euclidean,0.46866560485990777,0.5455555555555556,0.7436363636363638,0.2342857142857142
corr_0.8,5,distance,cosine,0.48268586028885885,0.5577777777777778,0.7509090909090911,0.2542857142857142
corr_0.8,7,uniform,euclidean,0.45406608463999765,0.535,0.7390909090909092,0.21428571428571425
corr_0.8,7,uniform,cosine,0.45248128830467665,0.5483333333333335,0.7745454545454545,0.1928571428571428
corr_0.8,7,distance,euclidean,0.45363811261202563,0.5344444444444444,0.7381818181818183,0.21428571428571425
corr_0.8,7,distance,cosine,0.45100931307018266,0.5444444444444444,0.7681818181818181,0.1928571428571428
corr_0.8,9,uniform,euclidean,0.4361632987396855,0.5255555555555556,0.741818181818182,0.1857142857142856
corr_0.8,9,uniform,cosine,0.4182504836423503,0.52,0.7563636363636362,0.14857142857142855
corr_0.8,9,distance,euclidean,0.4347355561119429,0.5233333333333333,0.7381818181818183,0.1857142857142856
corr_0.8,9,distance,cosine,0.43446298328663396,0.53,0.759090909090909,0.16999999999999996
corr_0.8,11,uniform,euclidean,0.4456102308999235,0.5411111111111111,0.7681818181818181,0.18428571428571425
corr_0.8,11,uniform,cosine,0.4103996777391081,0.5211111111111112,0.7700000000000001,0.12999999999999998
corr_0.8,11,distance,euclidean,0.443397546643761,0.5377777777777778,0.7627272727272728,0.18428571428571425
corr_0.8,11,distance,cosine,0.41398184948484795,0.5244444444444445,0.7745454545454546,0.1314285714285714
corr_0.8,15,uniform,euclidean,0.45693319072509486,0.5733333333333333,0.8363636363636364,0.16
corr_0.8,15,uniform,cosine,0.41530516608162793,0.5516666666666667,0.8372727272727274,0.10285714285714283
corr_0.8,15,distance,euclidean,0.45331082162881275,0.5694444444444444,0.8318181818181819,0.15714285714285714
corr_0.8,15,distance,cosine,0.41359266859521737,0.5494444444444444,0.8345454545454547,0.10142857142857138
corr_0.8,21,uniform,euclidean,0.4053985040141712,0.5638888888888889,0.8772727272727272,0.07142857142857144
corr_0.8,21,uniform,cosine,0.4313514674397733,0.5905555555555556,0.9072727272727272,0.09285714285714285
corr_0.8,21,distance,euclidean,0.4034631571410432,0.5638888888888889,0.8790909090909089,0.06857142857142856
corr_0.8,21,distance,cosine,0.42878841040962484,0.5877777777777777,0.9036363636363636,0.09142857142857143
corr_0.9,1,uniform,euclidean,0.5145692921878479,0.5538888888888889,0.6681818181818184,0.3742857142857142
corr_0.9,1,uniform,cosine,0.49970254383564056,0.5572222222222224,0.7181818181818184,0.3042857142857142
corr_0.9,1,distance,euclidean,0.5145692921878479,0.5538888888888889,0.6681818181818184,0.3742857142857142
corr_0.9,1,distance,cosine,0.49970254383564056,0.5572222222222224,0.7181818181818184,0.3042857142857142
corr_0.9,3,uniform,euclidean,0.46701509299878863,0.5272222222222223,0.6918181818181819,0.2685714285714285
corr_0.9,3,uniform,cosine,0.48544179307005403,0.5577777777777778,0.7500000000000001,0.25571428571428567
corr_0.9,3,distance,euclidean,0.46701509299878863,0.5272222222222223,0.6918181818181819,0.2685714285714285
corr_0.9,3,distance,cosine,0.47617432712215324,0.5511111111111111,0.7472727272727273,0.2428571428571428
corr_0.9,5,uniform,euclidean,0.4693116941029984,0.5466666666666667,0.7445454545454545,0.23571428571428565
corr_0.9,5,uniform,cosine,0.4720994511403081,0.5444444444444444,0.7263636363636364,0.2585714285714285
corr_0.9,5,distance,euclidean,0.4683235945214205,0.545,0.7418181818181817,0.23571428571428565
corr_0.9,5,distance,cosine,0.4764850285258854,0.5461111111111111,0.7245454545454545,0.2657142857142857
corr_0.9,7,uniform,euclidean,0.45109844959129203,0.5344444444444445,0.7409090909090911,0.21
