config_id,split_id,true_label,pred_label,count
euclidean_rigid_uniform_k5,9,1,1,10
euclidean_rigid_uniform_k5,10,0,0,3
euclidean_rigid_uniform_k5,10,0,1,4
euclidean_rigid_uniform_k5,10,1,0,4
euclidean_rigid_uniform_k5,10,1,1,7
euclidean_rigid_uniform_k5,11,0,0,3
euclidean_rigid_uniform_k5,11,0,1,4
euclidean_rigid_uniform_k5,11,1,0,2
euclidean_rigid_uniform_k5,11,1,1,9
euclidean_rigid_uniform_k5,12,0,0,4
euclidean_rigid_uniform_k5,12,0,1,3
euclidean_rigid_uniform_k5,12,1,0,2
euclidean_rigid_uniform_k5,12,1,1,9
euclidean_rigid_uniform_k5,13,0,0,1
euclidean_rigid_uniform_k5,13,0,1,6
euclidean_rigid_uniform_k5,13,1,0,1
euclidean_rigid_uniform_k5,13,1,1,10
euclidean_rigid_uniform_k5,14,0,0,3
euclidean_rigid_uniform_k5,14,0,1,4
euclidean_rigid_uniform_k5,14,1,0,0
euclidean_rigid_uniform_k5,14,1,1,11
euclidean_rigid_uniform_k5,15,0,0,3
euclidean_rigid_uniform_k5,15,0,1,4
euclidean_rigid_uniform_k5,15,1,0,2
euclidean_rigid_uniform_k5,15,1,1,9
euclidean_rigid_uniform_k5,16,0,0,2
euclidean_rigid_uniform_k5,16,0,1,5
euclidean_rigid_uniform_k5,16,1,0,2
euclidean_rigid_uniform_k5,16,1,1,9
euclidean_rigid_uniform_k5,17,0,0,4
euclidean_rigid_uniform_k5,17,0,1,3
euclidean_rigid_uniform_k5,17,1,0,3
euclidean_rigid_uniform_k5,17,1,1,8
euclidean_rigid_uniform_k5,18,0,0,3
euclidean_rigid_uniform_k5,18,0,1,4
euclidean_rigid_uniform_k5,18,1,0,1
euclidean_rigid_uniform_k5,18,1,1,10
euclidean_rigid_uniform_k5,19,0,0,3
euclidean_rigid_uniform_k5,19,0,1,4
euclidean_rigid_uniform_k5,19,1,0,1
euclidean_rigid_uniform_k5,19,1,1,10
euclidean_rigid_uniform_k5,20,0,0,3
euclidean_rigid_uniform_k5,20,0,1,4
euclidean_rigid_uniform_k5,20,1,0,5
euclidean_rigid_uniform_k5,20,1,1,6
euclidean_rigid_uniform_k5,21,0,0,2
euclidean_rigid_uniform_k5,21,0,1,5
euclidean_rigid_uniform_k5,21,1,0,3
euclidean_rigid_uniform_k5,21,1,1,8
euclidean_rigid_uniform_k5,22,0,0,3
euclidean_rigid_uniform_k5,22,0,1,4
euclidean_rigid_uniform_k5,22,1,0,4
euclidean_rigid_uniform_k5,22,1,1,7
euclidean_rigid_uniform_k5,23,0,0,7
euclidean_rigid_uniform_k5,23,0,1,0
euclidean_rigid_uniform_k5,23,1,0,5
euclidean_rigid_uniform_k5,23,1,1,6
euclidean_rigid_uniform_k5,24,0,0,2
euclidean_rigid_uniform_k5,24,0,1,5
euclidean_rigid_uniform_k5,24,1,0,1
euclidean_rigid_uniform_k5,24,1,1,10
euclidean_rigid_uniform_k5,25,0,0,4
euclidean_rigid_uniform_k5,25,0,1,3
euclidean_rigid_uniform_k5,25,1,0,4
euclidean_rigid_uniform_k5,25,1,1,7
euclidean_rigid_uniform_k5,26,0,0,3
euclidean_rigid_uniform_k5,26,0,1,4
euclidean_rigid_uniform_k5,26,1,0,5
euclidean_rigid_uniform_k5,26,1,1,6
euclidean_rigid_uniform_k5,27,0,0,1
euclidean_rigid_uniform_k5,27,0,1,6
euclidean_rigid_uniform_k5,27,1,0,7
euclidean_rigid_uniform_k5,27,1,1,4
euclidean_rigid_uniform_k5,28,0,0,4
euclidean_rigid_uniform_k5,28,0,1,3
euclidean_rigid_uniform_k5,28,1,0,2
euclidean_rigid_uniform_k5,28,1,1,9
euclidean_rigid_uniform_k5,29,0,0,3
euclidean_rigid_uniform_k5,29,0,1,4
euclidean_rigid_uniform_k5,29,1,0,4
euclidean_rigid_uniform_k5,29,1,1,7
euclidean_rigid_uniform_k5,30,0,0,2
euclidean_rigid_uniform_k5,30,0,1,5
euclidean_rigid_uniform_k5,30,1,0,2
euclidean_rigid_uniform_k5,30,1,1,9
euclidean_rigid_uniform_k5,31,0,0,4
euclidean_rigid_uniform_k5,31,0,1,3
euclidean_rigid_uniform_k5,31,1,0,3
euclidean_rigid_uniform_k5,31,1,1,8
euclidean_rigid_uniform_k5,32,0,0,5
euclidean_rigid_uniform_k5,32,0,1,2
euclidean_rigid_uniform_k5,32,1,0,5
euclidean_rigid_uniform_k5,32,1,1,6
euclidean_rigid_uniform_k5,33,0,0,3
euclidean_rigid_uniform_k5,33,0,1,4
euclidean_rigid_uniform_k5,33,1,0,6
euclidean_rigid_uniform_k5,33,1,1,5
euclidean_rigid_uniform_k5,34,0,0,2
euclidean_rigid_uniform_k5,34,0,1,5
euclidean_rigid_uniform_k5,34,1,0,1
euclidean_rigid_uniform_k5,34,1,1,10
euclidean_rigid_uniform_k5,35,0,0,3
euclidean_rigid_uniform_k5,35,0,1,4
